dataset_id,dataset,n_samples,n_features,n_classes,method,ACC_full_precision,ARI_full_precision,NMI_full_precision,ACC_display_2dp,ARI_display_2dp,NMI_display_2dp,valid,source
D8,EMNIST-Balanced,131600,784,47,HGPA,20.566869300911855,9.7400768547614855,28.066928567545907,20.57,9.74,28.07,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Balanced;method=HGPA;unit=fraction_to_percent
D8,EMNIST-Balanced,131600,784,47,MCLA,27.557750759878419,14.134528421991266,36.791300458053222,27.56,14.13,36.79,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Balanced;method=MCLA;unit=fraction_to_percent
D8,EMNIST-Balanced,131600,784,47,EAC,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Balanced;method=EAC;status=NOT_RUN;no_metric_for_invalid_paper_row
D8,EMNIST-Balanced,131600,784,47,KCC,25.101063829787235,11.995365951350564,34.74076124608344,25.10,12.00,34.74,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Balanced;method=KCC;unit=fraction_to_percent
D8,EMNIST-Balanced,131600,784,47,ECPCS-HC,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Balanced;method=ECPCS-HC;status=NOT_RUN;no_metric_for_invalid_paper_row
D8,EMNIST-Balanced,131600,784,47,SDGCA,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Balanced;method=SDGCA;status=RESOURCE_INFEASIBLE;no_metric_for_invalid_paper_row
D8,EMNIST-Balanced,131600,784,47,RANGE,26.760638297872341,14.159251329632955,36.558311030438317,26.76,14.16,36.56,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Balanced;method=RANGE;unit=fraction_to_percent
D8,EMNIST-Balanced,131600,784,47,BEGF (Ours),27.174012158054711,14.284830358259973,37.060719531921626,27.17,14.28,37.06,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Balanced;method=BMGF-PROJ-L;unit=fraction_to_percent
D9,EMNIST-Letters,145600,784,26,Base clusterings (avg.),35.686744505494505,19.455358134230571,37.180784472801265,35.69,19.46,37.18,YES,BASE_PARTITION_MEAN_METRICS_RAW.csv#dataset=EMNIST-Letters;unit=fraction_to_percent
D9,EMNIST-Letters,145600,784,26,CSPA,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Letters;method=CSPA;status=FAILED_FINAL;no_metric_for_invalid_paper_row
D9,EMNIST-Letters,145600,784,26,HGPA,24.410027472527474,12.307803447739638,26.042140780370432,24.41,12.31,26.04,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Letters;method=HGPA;unit=fraction_to_percent
D9,EMNIST-Letters,145600,784,26,MCLA,35.712912087912085,19.38008937052684,37.005959774895575,35.71,19.38,37.01,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Letters;method=MCLA;unit=fraction_to_percent
D9,EMNIST-Letters,145600,784,26,EAC,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Letters;method=EAC;status=NOT_RUN;no_metric_for_invalid_paper_row
D9,EMNIST-Letters,145600,784,26,KCC,35.818681318681317,19.157642670144245,36.857633973654436,35.82,19.16,36.86,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Letters;method=KCC;unit=fraction_to_percent
D9,EMNIST-Letters,145600,784,26,ECPCS-HC,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Letters;method=ECPCS-HC;status=NOT_RUN;no_metric_for_invalid_paper_row
D9,EMNIST-Letters,145600,784,26,SDGCA,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Letters;method=SDGCA;status=RESOURCE_INFEASIBLE;no_metric_for_invalid_paper_row
D9,EMNIST-Letters,145600,784,26,RANGE,35.76304945054945,19.3537288895899,36.986934709377151,35.76,19.35,36.99,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Letters;method=RANGE;unit=fraction_to_percent
D9,EMNIST-Letters,145600,784,26,BEGF (Ours),35.787774725274724,19.571557197315473,37.074354756646527,35.79,19.57,37.07,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=EMNIST-Letters;method=BMGF-PROJ-L;unit=fraction_to_percent
D10,Walking,149332,4,22,Base clusterings (avg.),22.278413200117858,9.5854572145415845,25.909677685426225,22.28,9.59,25.91,YES,BASE_PARTITION_MEAN_METRICS_RAW.csv#dataset=walking-activity;unit=fraction_to_percent
D10,Walking,149332,4,22,CSPA,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Walking;method=CSPA;status=FAILED_FINAL;no_metric_for_invalid_paper_row
D10,Walking,149332,4,22,HGPA,5.511879570353307,-0.0094432094362352804,0.000072523320417805926,5.51,-0.01,0.00,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Walking;method=HGPA;unit=fraction_to_percent
D10,Walking,149332,4,22,MCLA,21.66113090295449,9.3197640576164531,25.937115709712433,21.66,9.32,25.94,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Walking;method=MCLA;unit=fraction_to_percent
D10,Walking,149332,4,22,EAC,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Walking;method=EAC;status=NOT_RUN;no_metric_for_invalid_paper_row
D10,Walking,149332,4,22,KCC,21.537915517102832,8.3363722183625255,23.716091737184866,21.54,8.34,23.72,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Walking;method=KCC;unit=fraction_to_percent
D10,Walking,149332,4,22,ECPCS-HC,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Walking;method=ECPCS-HC;status=NOT_RUN;no_metric_for_invalid_paper_row
D10,Walking,149332,4,22,SDGCA,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Walking;method=SDGCA;status=RESOURCE_INFEASIBLE;no_metric_for_invalid_paper_row
D10,Walking,149332,4,22,RANGE,22.891275814962633,9.876649651269051,25.651681200055698,22.89,9.88,25.65,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Walking;method=RANGE;unit=fraction_to_percent
D10,Walking,149332,4,22,BEGF (Ours),22.466718452843329,9.5772065523699462,26.003551074549203,22.47,9.58,26.00,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Walking;method=BMGF-PROJ-L;unit=fraction_to_percent
